time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,time/total_timesteps,time/fps,train/n_updates,train/actor_loss,train/learning_rate,train/critic_loss
1,-4288.481573,781.0,1,781,526,,,,
15,-5304.6896115,781.0,2,1562,103,781,1.8301756120911141,0.001,17.65360879203574
29,-5911.984373666666,781.0,3,2343,78,1562,4.041242341819802,0.001,8.573167334750734
43,-8285.70928,781.0,4,3124,71,2343,5.898696371648108,0.001,11.272633863014388
61,-8314.3626408,781.0,5,3905,63,3124,-11.085951119437295,0.001,10.903775430061447
79,-8300.207914833334,781.0,6,4686,59,3905,-24.533890431272237,0.001,13.034557293990815
95,-8590.424084285714,781.0,7,5467,57,4686,-38.17809560265339,0.001,18.11493829392593
110,-8548.017786125,781.0,8,6248,56,5467,-52.076700865077605,0.001,20.03051453729598
126,-8741.598230777778,781.0,9,7029,55,6248,-62.547551026875475,0.001,28.26524635649521
141,-8406.4698615,781.0,10,7810,55,7029,-78.0669724028486,0.001,36.7932613903368
157,-8079.27733,781.0,11,8591,54,7810,-95.79067289325553,0.001,50.85505956754794
173,-7825.05282675,781.0,12,9372,54,8591,-129.3551874099712,0.001,80.78304525465727
188,-7783.045502230769,781.0,13,10153,53,9372,-172.4908973605929,0.001,142.60334639787368
204,-7741.064256142857,781.0,14,10934,53,10153,-218.80791669740566,0.001,193.81256792823118
219,-7642.1867882,781.0,15,11715,53,10934,-286.31312037430104,0.001,315.2241596449047
235,-7847.087707875,781.0,16,12496,53,11715,-360.8457645899813,0.001,654.8286551134839
251,-7702.281766882353,781.0,17,13277,52,12496,-471.82095090741535,0.001,1156.939713330336
267,-7572.888885722223,781.0,18,14058,52,13277,-593.8590397364657,0.001,1198.0735127794605
283,-7460.277874473684,781.0,19,14839,52,14058,-719.2276591009123,0.001,2021.2034083939086
298,-7358.64074545,781.0,20,15620,52,14839,-847.863260930998,0.001,2596.503192537725
314,-7341.534000142858,781.0,21,16401,52,15620,-995.2963526453465,0.001,4720.032219509461
330,-7392.192086181818,781.0,22,17182,52,16401,-1242.2135602924186,0.001,3980.3798864074006
345,-7326.161142434782,781.0,23,17963,51,17182,-1442.946339000355,0.001,5887.427690708683
361,-7332.570198,781.0,24,18744,51,17963,-1642.6647050493657,0.001,5631.080451887182
380,-7296.47137972,781.0,25,19525,51,18744,-1931.772929212348,0.001,12850.666548080542
399,-7281.817863038463,781.0,26,20306,50,19525,-2086.270146446863,0.001,16619.440584658965
415,-7305.2683475185195,781.0,27,21087,50,20306,-2274.863759371749,0.001,17264.164579599066
430,-7267.34708357143,781.0,28,21868,50,21087,-2468.8002971888504,0.001,20727.797042963906
448,-7204.211672517242,781.0,29,22649,50,21868,-2652.6767831331026,0.001,19669.1303592931
464,-7162.985044466667,781.0,30,23430,50,22649,-2846.156286574204,0.001,21348.575607905466
479,-7155.401311870968,781.0,31,24211,50,23430,-3192.9407697963347,0.001,27571.26980704138
495,-7233.016674375,781.0,32,24992,50,24211,-3382.5627791518286,0.001,31384.75007983023
513,-7285.885050818181,781.0,33,25773,50,24992,-3604.9064028614157,0.001,38633.86568729337
529,-7232.832931941176,781.0,34,26554,50,25773,-4091.169401395947,0.001,38710.27345949923
545,-7134.231964228571,781.0,35,27335,50,26554,-4497.029642923236,0.001,50325.50907630286
561,-7122.165887916666,781.0,36,28116,50,27335,-4795.779861430658,0.001,77847.45175557741
577,-7189.240087459459,781.0,37,28897,50,28116,-5119.03779021787,0.001,50595.870679789405
593,-7153.109238394735,781.0,38,29678,50,28897,-5562.674096961027,0.001,60137.43466307656
609,-7211.391351974357,781.0,39,30459,49,29678,-6063.9360651658535,0.001,86554.58073817997
626,-7205.331184750001,781.0,40,31240,49,30459,-6499.117792693662,0.001,78986.76059292098
642,-7237.30080797561,781.0,41,32021,49,31240,-7088.575112160892,0.001,94099.67888036672
658,-7248.316537690476,781.0,42,32802,49,32021,-7774.999375425136,0.001,144633.9376242585
674,-7184.752505488373,781.0,43,33583,49,32802,-8554.960603017966,0.001,163360.80112604782
691,-7125.817886159091,781.0,44,34364,49,33583,-9363.416232569421,0.001,191362.25728608156
707,-7089.9082999111115,781.0,45,35145,49,34364,-10222.87216534291,0.001,180645.17357022996
723,-7134.609805326088,781.0,46,35926,49,35145,-10969.59130921895,0.001,226824.39966633072
739,-7107.732931893617,781.0,47,36707,49,35926,-11662.7373021867,0.001,293051.3320659486
756,-7053.047821708334,781.0,48,37488,49,36707,-12476.246368838029,0.001,297315.3831694892
772,-7049.522645020408,781.0,49,38269,49,37488,-13358.603740697023,0.001,313276.55253368575
788,-7114.55453582,781.0,50,39050,49,38269,-14183.057948543534,0.001,373308.47793731495
805,-7083.691562901961,781.0,51,39831,49,39050,-15126.151802326745,0.001,440416.20375145046
822,-7069.17137098077,781.0,52,40612,49,39831,-16104.456144716309,0.001,405732.63331891206
838,-7025.578158509435,781.0,53,41393,49,40612,-17071.98279699504,0.001,519214.8362738576
854,-7028.900823611112,781.0,54,42174,49,41393,-18007.303585897487,0.001,547312.6244692052
872,-7000.771561763637,781.0,55,42955,49,42174,-18929.390583736797,0.001,608465.0548544284
888,-6992.954664089286,781.0,56,43736,49,42955,-19776.59698853633,0.001,711715.1126923115
904,-6970.179856385966,781.0,57,44517,49,43736,-20832.470475552178,0.001,708674.7722308639
920,-7013.537174258621,781.0,58,45298,49,44517,-21766.761863796415,0.001,745006.6667296034
935,-6962.201100932203,781.0,59,46079,49,45298,-22936.79064800736,0.001,764233.585162252
951,-6918.3425019666665,781.0,60,46860,49,46079,-23782.991962427976,0.001,960044.3954815541
968,-6962.1876113278695,781.0,61,47641,49,46860,-24773.73919154129,0.001,999910.5700036512
984,-6945.0330375,781.0,62,48422,49,47641,-26003.141197683257,0.001,1075102.1546319823
1003,-6956.128372571429,781.0,63,49203,49,48422,-27007.082258822822,0.001,1191318.0766857895
1018,-6932.41216565625,781.0,64,49984,49,49203,-27988.759000380123,0.001,1282239.5768520928
1034,-6907.497791446154,781.0,65,50765,49,49984,-28985.596703445102,0.001,1152966.563540333
1050,-6915.730424848486,781.0,66,51546,49,50765,-29866.10138744398,0.001,1167817.3835427337
1066,-6875.575743731344,781.0,67,52327,49,51546,-30689.9189665693,0.001,1334689.6276458467
1082,-6863.735612676472,781.0,68,53108,49,52327,-31580.224639384604,0.001,1287960.7010893486
1097,-6910.531518724638,781.0,69,53889,49,53108,-32384.25763744398,0.001,1213098.0836867797
1115,-6905.610628028571,781.0,70,54670,49,53889,-33456.83427446783,0.001,1228801.3434399008
1131,-6944.230467211268,781.0,71,55451,48,54670,-34213.79179087308,0.001,1874807.1435509364
1148,-6940.4750712916675,781.0,72,56232,48,55451,-35146.919076604514,0.001,1860179.0707926536
1165,-6942.399649232877,781.0,73,57013,48,56232,-36231.09033890845,0.001,1454967.7195002402
1182,-6976.383100391892,781.0,74,57794,48,57013,-37192.087923135405,0.001,1485720.5796079745
1198,-6964.733718253334,781.0,75,58575,48,57794,-38236.23521526888,0.001,2104234.5055942903
1214,-6969.395656657895,781.0,76,59356,48,58575,-38970.82973551536,0.001,2269850.1095925695
1230,-6986.240750324677,781.0,77,60137,48,59356,-39841.12337948143,0.001,1868049.3443351872
1247,-6975.067118987181,781.0,78,60918,48,60137,-40645.05614796735,0.001,2382220.6290512965
1263,-6998.984810430381,781.0,79,61699,48,60918,-41564.87751080346,0.001,2283935.036296615
1280,-7000.3160367125,781.0,80,62480,48,61699,-42483.70754641485,0.001,2421364.492785191
1297,-7032.590200814815,781.0,81,63261,48,62480,-43316.6533590749,0.001,3024261.3386233593
1314,-7026.901084621953,781.0,82,64042,48,63261,-44247.11527188701,0.001,2477292.018163312
1331,-7044.2921003734955,781.0,83,64823,48,64042,-45414.66629821543,0.001,2975613.9651138363
1348,-7076.772469583335,781.0,84,65604,48,64823,-46330.82119278169,0.001,3085682.564465629
1366,-7104.9561848117655,781.0,85,66385,48,65604,-47319.454920574586,0.001,3000456.284305978
1383,-7083.004119883722,781.0,86,67166,48,66385,-48273.9179637484,0.001,3340293.3332616435
1401,-7047.989918298852,781.0,87,67947,48,67166,-49326.40502960947,0.001,3428969.6597161093
1418,-7069.361404079545,781.0,88,68728,48,67947,-50456.27073663572,0.001,3171740.2701514484
1436,-7033.5799030337075,781.0,89,69509,48,68728,-51799.9443021767,0.001,4582367.17415573
1454,-7048.9147447666655,781.0,90,70290,48,69509,-53303.45261983835,0.001,4448807.887534011
1472,-7122.971652373625,781.0,91,71071,48,70290,-55011.50432638444,0.001,3620199.003941261
1490,-7140.244400684781,781.0,92,71852,48,71071,-56430.09064400608,0.001,4387933.987185899
1509,-7138.20155529032,781.0,93,72633,48,71852,-57480.957586427656,0.001,4741671.874129722
1527,-7123.961236021275,781.0,94,73414,48,72633,-58703.9551006322,0.001,5127849.142815701
1546,-7103.843079578945,781.0,95,74195,47,73414,-59479.96132262324,0.001,5697205.234975192
1565,-7095.9529859375,781.0,96,74976,47,74195,-60544.43862536012,0.001,5272565.104483435
1584,-7112.908945391753,781.0,97,75757,47,74976,-61495.85107234315,0.001,5022137.963038173
1602,-7147.008698520409,781.0,98,76538,47,75757,-62463.1592259523,0.001,4208464.729583466
1621,-7133.343143464647,781.0,99,77319,47,76538,-63331.575224071705,0.001,5903064.597591229
1640,-7171.439279090001,781.0,100,78100,47,77319,-64005.14365096831,0.001,4818187.9356244
1660,-7235.09700995,781.0,101,78881,47,78100,-65179.11278108995,0.001,4685032.493527929
1680,-7248.9811603299995,781.0,102,79662,47,78881,-66200.12261923816,0.001,6559554.794394206
1702,-7237.8349468,781.0,103,80443,47,79662,-66951.01971630922,0.001,6781580.755121639
1726,-7159.94792933,781.0,104,81224,47,80443,-67728.16975932298,0.001,6737053.618798016
1747,-7146.694342279999,781.0,105,82005,46,81224,-68400.2304137324,0.001,5975027.022877321
1767,-7118.799207739999,781.0,106,82786,46,82005,-69238.1346981034,0.001,6433148.325504161
1787,-7094.302660849999,781.0,107,83567,46,82786,-69935.44395206466,0.001,5398187.501000321
1808,-7083.156759379998,781.0,108,84348,46,83567,-70795.60869478234,0.001,7343861.494238156
1828,-7053.40367495,781.0,109,85129,46,84348,-71341.61166573303,0.001,6633808.296354834
